Name,Attributes,n,n1,n2
Wikipedia links (xal),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges']",2697,,
Wikivoyage edits (nl),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",12679,1133,11546
Wikiquote edits (tr),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",19818,2619,17199
Wikibooks edits (he),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",18548,1802,16746
MovieLens tag–item,"['Feature network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",24129,16528,7601
MovieLens user–item,"['Interaction network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",11610,4009,7601
MovieLens user–tag,"['Interaction network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",20537,4009,16528
Wikipedia links (pam),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",9537,,
Linux sources,"['Software network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",30837,,
Wikinews edits (zh),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",25842,1395,24447
Wikiquote edits (br),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",44718,202,44516
Wikipedia edits (ln),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",8637,896,7741
Wikipedia edits (nov),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",5108,790,4318
Wikipedia edits (stq),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",10580,1016,9564
Wikipedia links (mhr),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",14569,,
Wikipedia edits (dv),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",11438,1080,10358
Wiktionary edits (jv),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",72179,219,71960
Wikipedia edits (ie),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",6974,1039,5935
Wikiversity edits (ru),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",22838,3171,19667
Brightkite,"['Online social network', 'Unipartite undirected', 'Unweighted no multiple edges']",58228,,
Wiktionary edits (ky),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",54082,269,53813
Wikipedia links (fiu-vro),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",6424,,
Wiktionary edits (sk),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",22385,409,21976
Wikiquote edits (sa),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",50410,856,49554
Wikiquote edits (fa),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",25584,1468,24116
Wikipedia elections,"['Online contact network', 'Unipartite directed', 'Signed possibly weighted no multiple edges', 'Edges are annotated with timestamps', 'Contains loops', 'Is a snapshot and likely to not contain all data']",7118,,
Producers,"['Authorship network', 'Bipartite undirected', 'Unweighted no multiple edges']",187677,48833,138844
Wikipedia edits (kv),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",12240,985,11255
Wikipedia links (se),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",8622,,
Wikipedia edits (ug),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",12183,1102,11081
Wiktionary edits (nds),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",33077,280,32797
Wikipedia edits (bo),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",17244,1539,15705
Wiktionary edits (sw),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",16439,325,16114
Wikipedia edits (frr),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",20137,2507,17630
Wikipedia edits (dsb),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",11708,1261,10447
Wikipedia edits (rm),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",9312,1225,8087
Wikipedia edits (xmf),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",25928,754,25174
Record labels,"['Affiliation network', 'Bipartite undirected', 'Unweighted no multiple edges']",186758,168337,18421
Wikinews edits (ca),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",11942,818,11124
Wikiquote edits (pt),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",30579,2920,27659
Wikipedia edits (roa-tara),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",18036,866,17170
Wikiquote edits (no),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",61424,401,61023
Wikipedia edits (sc),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",13682,1392,12290
Wiktionary edits (fy),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",17503,309,17194
Wikipedia edits (crh),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",19970,1250,18720
Wikipedia edits (so),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",20387,2692,17695
Wikinews edits (eo),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",6031,277,5754
Wiktionary edits (sl),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",16657,400,16257
Wikipedia talk (bn),"['Communication network', 'Unipartite directed', 'Unweighted multiple edges', 'Edges are annotated with timestamps', 'Contains loops']",83803,,
Wikipedia links (fo),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",17649,,
Wikipedia links (hsb),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",17665,,
Wikipedia edits (mzn),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",28129,1111,27018
Wikivoyage edits (he),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",13272,1063,12209
Wiktionary edits (tl),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",26189,376,25813
Wikispeedia,"['Hyperlink network', 'Unipartite directed', 'Unweighted multiple edges', 'The edges form paths']",4179,,
Wikipedia links (os),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",20874,,
Wikipedia talk (sk),"['Communication network', 'Unipartite directed', 'Unweighted multiple edges', 'Edges are annotated with timestamps', 'Contains loops']",41452,,
Wikinews edits (ja),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",26220,1142,25078
Wiktionary edits (af),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",22147,490,21657
Wikiversity edits (it),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",21860,2642,19218
Wikipedia links (hif),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges']",8758,,
Wikipedia edits (mi),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",13743,1041,12702
Wikipedia links (diq),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",11810,,
Wikiquote edits (sl),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",29080,1896,27184
Wikipedia links (vec),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",17524,,
Wikiquote edits (cs),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",53415,751,52664
Occupations,"['Affiliation network', 'Bipartite undirected', 'Unweighted no multiple edges']",229307,127577,101730
Wikipedia edits (nv),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",14833,939,13894
Wikiquote edits (ko),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",35955,928,35027
Wikipedia edits (lij),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",14834,1108,13726
Wiktionary edits (scn),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",28112,405,27707
Wikipedia links (cdo),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",14816,,
Wikipedia edits (csb),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",9613,1331,8282
Wikipedia edits (wuu),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",18033,2447,15586
Wikipedia edits (mai),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",33865,8424,25441
Wikipedia edits (as),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",39264,1745,37519
Wikipedia edits (fur),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",8444,1206,7238
Wikiquote edits (ml),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",43889,2660,41229
Wikipedia edits (mhr),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",22981,1063,21918
Wiktionary edits (zh-min-nan),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",23748,321,23427
Wikipedia links (glk),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",7332,,
Wikipedia edits (bcl),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",13304,1230,12074
Wikipedia links (kn),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",29531,,
Wiktionary edits (cy),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",27506,332,27174
Wikipedia edits (fiu-vro),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",10914,973,9941
Wikiquote edits (hy),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",57699,1085,56614
Wiktionary edits (or),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",109998,195,109803
Wikipedia edits (fy),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",4551,1041,3510
Wikipedia edits (kw),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",8623,1155,7468
Slashdot,"['Communication network', 'Unipartite directed', 'Unweighted multiple edges', 'Edges are annotated with timestamps', 'Contains loops', 'Is a snapshot and likely to not contain all data']",51083,,
Wikipedia edits (ksh),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",11673,1410,10263
Wikipedia links (sah),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",15531,,
Wikipedia links (map-bms),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",14162,,
YouTube,"['Affiliation network', 'Bipartite undirected', 'Unweighted no multiple edges']",124325,94238,30087
Wikipedia edits (ps),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",26094,1493,24601
Wikipedia links (bcl),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",8130,,
Wikipedia links (gd),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",22978,,
Wikipedia edits (gom),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",11657,4406,7251
Wikipedia edits (azb),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",44365,532,43833
Actors (DBpedia),"['Feature network', 'Bipartite undirected', 'Unweighted no multiple edges']",157184,76099,81085
Wikipedia edits (frp),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",7702,1085,6617
Wikipedia edits (ang),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",16202,2207,13995
Wikibooks edits (pl),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",22011,2611,19400
DBpedia locations,"['Feature network', 'Bipartite undirected', 'Unweighted no multiple edges']",225498,172091,53407
Wikipedia edits (km),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",28481,3985,24496
Wiktionary edits (ast),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",22048,366,21682
Wiktionary edits (fj),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",32313,244,32069
Wikipedia edits (lad),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",15044,1406,13638
Wikipedia edits (co),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",13948,1552,12396
arXiv hep-th,"['Citation network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",27770,,
Wikiquote edits (te),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",54263,649,53614
Wikipedia links (bh),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",15581,,
Edinburgh Associative Thesaurus,"['Lexical network', 'Unipartite directed', 'Unweighted multiple edges', 'Contains loops']",23132,,
Internet topology,"['Computer network', 'Unipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps', 'Is not directed but the underlying data is']",34761,,
Wikipedia links (li),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",49129,,
Wiktionary edits (la),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",30656,839,29817
Wiktionary edits (wa),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",46386,310,46076
Wikipedia edits (bug),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",19261,746,18515
Wikipedia edits (tk),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",13512,1425,12087
Wikipedia edits (szl),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",17240,1534,15706
Daily Kos,"['Text network', 'Bipartite undirected', 'Unweighted multiple edges']",10336,3430,6906
Wikipedia edits (map-bms),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",28464,1081,27383
Wikipedia links (xmf),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",15600,,
Wikipedia edits (mt),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",16594,1746,14848
Douban,"['Online social network', 'Unipartite undirected', 'Unweighted no multiple edges']",154908,,
Wikivoyage edits (ru),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",16613,2162,14451
Wikiquote edits (fr),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",27896,4446,23450
Wikipedia talk (el),"['Communication network', 'Unipartite directed', 'Unweighted multiple edges', 'Edges are annotated with timestamps', 'Contains loops']",40254,,
Wikipedia links (hak),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",11487,,
Wikipedia edits (nrm),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",8944,891,8053
TripAdvisor,"['Rating network', 'Bipartite undirected', 'Ratings multiple edges', 'Edges are annotated with timestamps', 'Is a snapshot and likely to not contain all data']",147075,145316,1759
Wiktionary edits (vo),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",25457,255,25202
Wikinews edits (pl),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",43407,1572,41835
Wikipedia links (ht),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",57219,,
Wikiquote edits (es),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",35344,7008,28336
Wikipedia edits (hif),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",31566,3858,27708
Wikipedia links (nso),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",8152,,
Wikiquote edits (ru),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",37740,5538,32202
arXiv hep-ph,"['Citation network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",34546,,
Wiktionary edits (uk),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",45588,907,44681
EU institution,"['Communication network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops', 'Is a snapshot and likely to not contain all data', 'Does not have multiple edges but the underlying data has']",265214,,
Wiktionary edits (br),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",44388,390,43998
Wikibooks edits (nl),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",29946,4136,25810
Wikinews edits (tr),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",10072,495,9577
Wikiquote edits (ar),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",130274,1544,128730
Wikipedia links (mn),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",24924,,
Wiktionary edits (hr),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",41101,583,40518
Wiktionary edits (he),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",38019,2291,35728
Wikipedia edits (diq),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",27295,1525,25770
Wikipedia links (arz),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",24958,,
Wikipedia links (or),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",25876,,
Wikinews edits (fa),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",17279,530,16749
Wiktionary edits (mn),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",46998,415,46583
Wikibooks edits (es),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",40141,6100,34041
Wikiquote edits (pt),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",98234,2295,95939
Wiktionary edits (is),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",27047,829,26218
Github,"['Authorship network', 'Bipartite undirected', 'Unweighted no multiple edges']",177386,56519,120867
Epinions,"['Online social network', 'Unipartite directed', 'Unweighted no multiple edges']",75879,,
Genres (DBpedia),"['Feature network', 'Bipartite undirected', 'Unweighted no multiple edges']",266717,258934,7783
Wikibooks edits (hu),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",63280,805,62475
Wikibooks edits (it),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",30047,4294,25753
Wikipedia edits (ky),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",89898,2291,87607
Wikinews edits (pt),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",42449,2149,40300
Wikipedia edits (zh-classical),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",74548,2704,71844
Wikipedia edits (se),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",18055,1372,16683
Wikipedia edits (nds-nl),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",18232,1542,16690
Wikipedia edits (pam),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",19529,1313,18216
Wikipedia edits (or),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",59154,3116,56038
Wikipedia edits (vls),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",19886,1824,18062
Wikipedia links (pa),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",39753,,
Wiktionary edits (oc),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",45224,426,44798
Wikipedia edits (ilo),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",46658,1170,45488
Wikipedia links (nds),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",39034,,
Wikipedia edits (gv),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",18060,1284,16776
Wiktionary edits (da),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",50397,805,49592
Wikivoyage edits (fr),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",25086,4203,20883
Wikipedia links (ps),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",12949,,
Catster households,"['Online social network', 'Unipartite undirected', 'Unweighted no multiple edges']",105138,,
BookCrossing (ratings),"['Rating network', 'Bipartite undirected', 'Ratings no multiple edges']",263757,77802,185955
Wikipedia edits (wa),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",38946,1455,37491
Wikipedia links (pms),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",67205,,
Wikiquote edits (sv),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",92795,838,91957
CiteSeer,"['Authorship network', 'Bipartite undirected', 'Unweighted no multiple edges', 'Is a snapshot and likely to not contain all data']",286748,105353,181395
Wikipedia edits (am),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",45123,1873,43250
Wikipedia edits (fo),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",39779,2212,37567
Wikipedia talk (sr),"['Communication network', 'Unipartite directed', 'Unweighted multiple edges', 'Edges are annotated with timestamps', 'Contains loops']",103068,,
Wikipedia edits (bat-smg),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",28718,1679,27039
Wikiquote edits (de),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",24753,5005,19748
Wikipedia edits (sah),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",39858,1763,38095
DBpedia countries,"['Affiliation network', 'Bipartite undirected', 'Unweighted multiple edges']",592414,590112,2302
Wikipedia edits (hsb),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",32373,1952,30421
Wikipedia links (yi),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",25250,,
Slashdot Zoo,"['Online social network', 'Unipartite directed', 'Signed possibly weighted no multiple edges']",79120,,
Wikipedia edits (nah),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",20068,1446,18622
Wiktionary edits (az),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",59734,539,59195
SAP forums,"['Communication network', 'Unipartite directed', 'Unweighted multiple edges', 'Edges are annotated with timestamps', 'Contains loops']",29714,,
Wikipedia links (bar),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",40757,,
Wikipedia edits (si),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",66095,3945,62150
Wikipedia edits (my),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",74452,2747,71705
Wikipedia talk (ca),"['Communication network', 'Unipartite directed', 'Unweighted multiple edges', 'Edges are annotated with timestamps', 'Contains loops']",79736,,
Wikibooks edits (pt),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",79341,4212,75129
Wiktionary edits (hi),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",203894,701,203193
Wikipedia edits (pa),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",90005,2556,87449
WordNet,"['Lexical network', 'Unipartite undirected', 'Unweighted no multiple edges']",146005,,
NIPS full papers,"['Text network', 'Bipartite undirected', 'Unweighted multiple edges']",13875,1500,12375
Wikipedia edits (gan),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",34354,1186,33168
Wikiquote edits (pl),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",54021,4312,49709
Wikipedia links (als),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",29511,,
Wikipedia edits (sa),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",53467,4505,48962
Wikipedia edits (li),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",60713,2059,58654
Wikipedia links (io),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",31011,,
Wiktionary edits (eu),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",62637,415,62222
Wiktionary edits (simple),"['Authorship network', 'Bipartite undirected', 'Unweighted multiple edges', 'Edges are annotated with timestamps']",33632,1750,31882
Wikipedia links (ku),"['Hyperlink network', 'Unipartite directed', 'Unweighted no multiple edges', 'Contains loops']",37123,,
