,Name,URL,Category,Attributes,Size,Volume,Loop count,Wedge count,Claw count,Cross count,Triangle count,Square count,4-Tour count,Maximum degree,Average degree,Fill,Size of LCC,Diameter,50-Percentile effective diameter,90-Percentile effective diameter,Median distance,Mean distance,Gini coefficient,Balanced inequality ratio,Relative edge distribution entropy,Power law exponent,Tail power law exponent,Tail power law exponent with p,p-value,Degree assortativity,Degree assortativity p-value,Clustering coefficient,Spectral norm,Algebraic connectivity,Spectral separation,Non-bipartivity,Normalized non-bipartivity,Algebraic non-bipartivity,Spectral bipartite frustration,Controllability,Relative controllability,Left size,Right size,Maximum left degree,Maximum right degree,Average left degree,Average right degree,Left balanced inequality ratio,Right balanced inequality ratio,Left tail power law exponent with p,Left p-value,Right tail power law exponent with p,Right p-value,Maximum outdegree,Maximum indegree,Size of LSCC,Relative size of LSCC,Outdegree balanced inequality ratio,Indegree balanced inequality ratio,In/outdegree correlation,Directed clustering coefficient,Operator 2-norm,Cyclic eigenvalue,Reciprocity,Negativity,Algebraic conflict,Triadic conflict,Spectral signed frustration,Outdegree tail power law exponent with p,Outdegree p-value,Indegree tail power law exponent with p,Indegree p-value,Unique edge count,Average edge multiplicity
Wmap-bms,Wikipedia links (map-bms),wikipedia_link_map_bms/,Hyperlink network,"['Unipartite', 'directed', 'Unweighted', 'no multiple edges']",14162,345041,20.0,409875248,1143426945994,2651285844657954,4436042.0,1916323811.0,16970631724.0,10041,48.7277,0.00172037,14111,10.0,1.9431,3.72452,2.0,2.79644,0.657796,0.251866,0.872546,1.35489,2.601,2.601,0.0,-0.212925,0.0,0.0324687,426.59,0.0843545,1.39663,0.3797,0.0394319,0.0768483,0.000501884,7521.0,0.531069,,,,,,,,,,,,,1912.0,9889.0,6593.0,0.465542,0.318901,0.201741,0.508119,0.777033,283.381,212.031,0.434203,,,,,3.151,0.0,2.061,0.0,,
YG,YouTube,youtube-groupmemberships/,Affiliation network,"['Bipartite', 'undirected', 'Unweighted', 'no multiple edges']",124325,293360,,70180198,92191098295,150344737942342,,12540261.0,381648116.0,7591,4.71924,0.000103466,113496,17.0,4.60249,6.39019,5.0,5.17435,0.693488,0.229794,0.878122,2.41168,2.311,2.311,0.025,-0.0671645,2.12207e-290,,90.3775,0.00922119,1.23541,,,,,73201.0,0.588787,94238.0,30087.0,1035.0,7591.0,3.11297,9.75039,0.280584,0.188134,2.801,0.753,2.281,0.277,,,,,,,,,,,,,,,,,,,,,
ps,Wikipedia edits (ps),edit-pswiki/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",26094,161969,,95151212,162148792147,261800046392674,,70164462.0,942124454.0,23272,12.4143,0.00197545,24601,12.0,3.37067,4.51824,4.0,3.70156,0.845308,0.15001,0.738772,2.63834,2.121,2.121,0.0,-0.361223,0.0,,1024.68,0.0153869,1.46513,,,,,22672.0,0.890705,1493.0,24601.0,23272.0,918.0,108.486,6.58384,0.0574122,0.216424,1.691,0.0,2.191,0.0,,,,,,,,,,,,,,,,,,,,72557.0,2.2323
Wbcl,Wikipedia links (bcl),wikipedia_link_bcl/,Hyperlink network,"['Unipartite', 'directed', 'Unweighted', 'no multiple edges']",8130,349496,5.0,48963347,35991094267,8032968216940,12048575.0,2872720044.0,23178012354.0,2332,85.9769,0.00528763,8064,11.0,3.10896,4.28487,4.0,3.55896,0.740261,0.209427,0.87735,1.37612,2.051,,,0.0606732,1.34e-321,0.73822,756.53,0.0978139,2.4536,0.921608,0.0589125,0.0978191,0.000494812,2262.0,0.278229,,,,,,,,,,,,,1580.0,2291.0,5520.0,0.678967,0.214672,0.227204,0.833491,0.976869,379.5,377.032,0.859446,,,,,,,,,,
Wgd,Wikipedia links (gd),wikipedia_link_gd/,Hyperlink network,"['Unipartite', 'directed', 'Unweighted', 'no multiple edges']",22978,340005,1.0,55618385,29747392013,16501983838129,2775845.0,314601614.0,2739792104.0,3242,29.594,0.000643963,22924,11.0,3.08855,4.44205,4.0,3.63079,0.73402,0.211263,0.88627,1.51872,2.681,2.681,0.0,-0.112119,0.0,0.149726,349.548,0.115665,1.50316,0.65763,0.0557118,0.108045,0.00122471,8545.0,0.371877,,,,,,,,,,,,,549.0,3239.0,15556.0,0.676995,0.232508,0.200762,0.756233,0.637456,178.488,171.097,0.512807,,,,,2.161,0.0,2.511,0.0,,
gom,Wikipedia edits (gom),edit-gomwiki/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",11657,163422,,16353929,11202872289,6524710094283,,10623574.0,150514924.0,20151,28.0384,0.0011756,11493,9.0,3.43587,4.77909,4.0,3.85258,0.795508,0.185217,0.819154,2.02611,2.231,,,-0.348487,0.0,,1857.9,0.0585901,1.05316,,,,,8580.0,0.736734,4406.0,7251.0,20151.0,1616.0,37.0908,22.5379,0.0909486,0.226897,,,,,,,,,,,,,,,,,,,,,,,,37558.0,4.35119
azb,Wikipedia edits (azb),edit-azbwiki/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",44365,160629,,363622966,2048303918082,10185714734230260,,43799679.0,1805096496.0,27451,7.24125,0.00335638,44019,11.0,3.19838,3.88808,4.0,3.32172,0.802109,0.172889,0.686831,3.68252,2.301,2.301,0.0,-0.418852,0.0,,823.914,0.0836347,1.614,,,,,43142.0,0.9777,532.0,43833.0,27451.0,573.0,301.934,3.66457,0.0519147,0.259959,1.601,0.001,4.551,0.0,,,,,,,,,,,,,,,,,,,,78268.0,2.05229
ST,Actors (DBpedia),dbpedia-starring/,Feature network,"['Bipartite', 'undirected', 'Unweighted', 'no multiple edges']",157184,281396,,3240178,59090368,1957317775,,221363.0,15295024.0,321,3.58047,4.56035e-05,134015,38.0,8.66953,12.5444,9.0,9.43282,0.437649,0.343072,0.955531,2.19929,2.931,2.931,0.0,-0.0766446,0.0,,24.7409,0.00262842,1.24423,,,,,56054.0,0.356616,76099.0,81085.0,65.0,321.0,3.69776,3.47038,0.370304,0.258223,5.521,0.573,3.951,0.794,,,,,,,,,,,,,,,,,,,,,
frp,Wikipedia edits (frp),edit-frpwiki/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",7702,169876,,38915915,21951309684,10891820482747,,242521434.0,2095974486.0,17069,44.1122,0.00886378,6941,11.0,3.11352,4.27239,4.0,3.40557,0.835371,0.176867,0.774887,1.80876,1.581,1.581,0.0,-0.155288,0.0,,847.211,,2.61764,,,,,5551.0,0.735914,1085.0,6617.0,17069.0,334.0,156.568,25.6727,0.058213,0.211913,1.641,0.0,7.271,0.009,,,,,,,,,,,,,,,,,,,,63637.0,2.66945
ang,Wikipedia edits (ang),edit-angwiki/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",16202,168436,,56387716,47382466315,35434055394561,,135379384.0,1308789770.0,11785,20.792,0.00242863,14788,15.0,3.27157,3.99171,4.0,3.5701,0.857025,0.148626,0.763423,2.13503,1.741,1.741,0.0,-0.274807,0.0,,637.38,0.0476291,1.25841,,,,,12163.0,0.760473,2207.0,13995.0,11785.0,729.0,76.319,12.0354,0.0522513,0.183714,1.791,0.0,1.741,0.0,,,,,,,,,,,,,,,,,,,,75013.0,2.24542
bpl,Wikibooks edits (pl),edit-plwikibooks/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",22011,163911,,23243725,15774898718,9551571433517,,5966157.0,140839928.0,37337,14.8936,0.000931547,20687,12.0,3.53487,4.72525,4.0,4.02668,0.844462,0.15258,0.798584,2.54087,2.321,2.321,0.0,-0.138598,4.89128e-201,,4080.59,0.0659024,4.60593,,,,,16998.0,0.799944,2611.0,19400.0,37337.0,2841.0,62.7771,8.44902,0.0766086,0.213134,1.761,0.704,3.571,0.528,,,,,,,,,,,,,,,,,,,,47186.0,3.47372
LO,DBpedia locations,dbpedia-location/,Feature network,"['Bipartite', 'undirected', 'Unweighted', 'no multiple edges']",225498,293697,,122892989,324552882549,929789499617832,,3761594.0,522254610.0,12189,2.60487,3.19553e-05,181937,27.0,5.9482,8.77009,6.0,6.75443,0.540934,0.305049,0.888942,3.17622,2.011,2.011,0.0,0.0825833,0.0,,111.155,0.000760771,1.91768,,,,,124316.0,0.551325,172091.0,53407.0,28.0,12189.0,1.70664,5.49922,0.404226,0.187612,6.221,0.0,2.021,0.0,,,,,,,,,,,,,,,,,,,,,
km,Wikipedia edits (km),edit-kmwiki/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",28481,164036,,70457647,150996938773,304199864512524,,21938108.0,457472896.0,25799,11.519,0.000657225,25853,14.0,3.46365,4.7774,4.0,3.87536,0.822831,0.159032,0.778559,2.67305,2.141,2.141,0.0,-0.282379,0.0,,1654.58,0.0427413,4.02129,,,,,20911.0,0.760455,3985.0,24496.0,25799.0,856.0,41.1634,6.69644,0.0948267,0.215727,1.841,0.0,2.281,0.0,,,,,,,,,,,,,,,,,,,,64156.0,2.55683
mast,Wiktionary edits (ast),edit-astwiktionary/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",22048,175134,,450997531,1965779877144,7149644594658656,,512109885.0,5901202782.0,33733,15.8866,0.0119306,21794,10.0,1.59074,3.31856,2.0,2.30714,0.734173,0.223372,0.691569,1.82797,3.831,3.831,0.0,-0.443433,0.0,,528.484,0.047533,1.62651,,,,,21312.0,0.967935,366.0,21682.0,33733.0,243.0,478.508,8.07739,0.035213,0.324534,1.581,0.0,8.991,0.003,,,,,,,,,,,,,,,,,,,,94677.0,1.84981
mfj,Wiktionary edits (fj),edit-fjwiktionary/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",32313,170714,,699012088,4001200345792,18879472672848248,,402542813.0,6016594676.0,46242,10.5663,0.0130042,31975,13.0,1.60602,3.44243,2.0,2.36434,0.682263,0.249824,0.669874,1.97271,5.461,5.461,0.0,-0.327427,0.0,,494.483,0.0193262,1.79825,,,,,31797.0,0.985434,244.0,32069.0,46242.0,116.0,699.648,5.32333,0.0306243,0.363339,1.611,0.0,8.991,0.985,,,,,,,,,,,,,,,,,,,,101756.0,1.67768
lad,Wikipedia edits (lad),edit-ladwiki/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",15044,174807,,60172819,57642275619,51431766552268,,130208998.0,1282535050.0,26383,23.2394,0.00377611,14351,11.0,3.22895,3.94107,4.0,3.44129,0.854955,0.148821,0.757818,2.11285,1.731,1.731,0.0,-0.371109,0.0,,1115.04,0.0180638,1.85888,,,,,12275.0,0.824434,1406.0,13638.0,26383.0,565.0,124.329,12.8176,0.055793,0.203928,1.661,0.0,1.741,0.0,,,,,,,,,,,,,,,,,,,,72407.0,2.41423
co,Wikipedia edits (co),edit-cowiki/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",13948,177084,,77227773,74671414047,66498136662479,,278424419.0,2536516054.0,14140,25.392,0.00445693,11947,13.0,3.15257,4.4129,4.0,3.44485,0.84632,0.159419,0.765972,1.85765,1.611,,,-0.223269,0.0,,672.627,0.0197059,2.36471,,,,,9809.0,0.775538,1552.0,12396.0,14140.0,279.0,114.101,14.2856,0.0514389,0.205479,,,,,,,,,,,,,,,,,,,,,,,,85745.0,2.06524
THc,arXiv hep-th,cit-HepTh/,Citation network,"['Unipartite', 'directed', 'Unweighted', 'no multiple edges']",27770,352807,39.0,37101609,8172939577,3139197249029,1478735.0,63698507.0,658699062.0,2468,25.4092,0.000457494,27400,15.0,3.6897,5.35575,4.0,4.26957,0.570239,0.285445,0.937827,1.38989,3.111,3.111,0.002,-0.0303125,7.117759999999999e-143,0.119569,111.322,0.0649978,1.22353,0.39184,0.0362742,0.0650723,0.000633054,6718.0,0.241916,,,,,,,,,,,,,562.0,2414.0,7464.0,0.268779,0.30625,0.238017,0.277949,0.199169,85.1607,10.8011,0.00284858,,,,,4.131,0.14,2.691,0.033,,
Wbh,Wikipedia links (bh),wikipedia_link_bh/,Hyperlink network,"['Unipartite', 'directed', 'Unweighted', 'no multiple edges']",15581,382620,12.0,85192240,19393178499,5123116867029,6584619.0,5604417634.0,45176713016.0,2528,49.1137,0.00157608,15568,9.0,3.67321,5.03401,4.0,4.16752,0.803184,0.166503,0.859959,1.53272,1.541,1.541,0.0,0.108844,0.0,0.231874,424.985,0.0383947,1.24008,0.193599,0.0184297,0.0566095,0.000365385,7092.0,0.45517,,,,,,,,,,,,,428.0,2260.0,6566.0,0.421411,0.14701,0.193186,0.650962,0.864544,382.84,131.031,0.424034,,,,,1.531,0.0,2.121,0.0,,
EA,Edinburgh Associative Thesaurus,eat/,Lexical network,"['Unipartite', 'directed', 'Unweighted', 'multiple edges']",23132,511764,710.0,30388904,2967734991,376129003421,409174.0,16682968.0,255613548.0,1076,44.2473,0.000583659,23132,6.0,2.93581,3.85238,3.0,3.43144,0.696577,0.231681,0.911566,1.46967,3.211,,,-0.0476739,5.65003e-296,0.0403938,189.271,0.961452,1.52669,0.542479,0.482007,0.814787,0.0079153,14922.0,0.64508,,,,,,,,,,,,,78.0,1044.0,7751.0,0.335077,0.437125,0.198509,0.53229,0.0513845,131.648,57.3077,0.0956742,,,,,,,,,312310.0,1.63864
TO,Internet topology,topology/,Computer network,"['Unipartite', 'undirected', 'Unweighted', 'multiple edges']",34761,171403,0.0,34304301,20603857222,10997020148941,554749.0,79912964.0,776736356.0,5305,9.8618,0.000189517,34761,10.0,3.30483,4.37241,4.0,3.78362,0.808028,0.164131,0.807662,2.23338,1.921,1.921,0.0,-0.214867,0.0,0.0485142,425.817,0.0440876,2.34189,0.586838,0.0167249,0.0327725,0.00132195,24439.0,0.703058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114496.0,1.49702
Wli,Wikipedia links (li),wikipedia_link_li/,Hyperlink network,"['Unipartite', 'directed', 'Unweighted', 'no multiple edges']",49129,375392,17.0,43772272,16809280196,9283020920077,2257357.0,143100665.0,1320482908.0,3496,15.2819,0.000155528,49126,8.0,3.84938,4.92189,4.0,4.33477,0.827084,0.143594,0.849148,2.04065,1.971,1.801,0.0,-0.0624942,0.0,0.154711,193.587,0.00672867,1.10194,0.669298,0.00334138,0.00666056,0.000138993,33889.0,0.689796,,,,,,,,,,,,,615.0,3447.0,18283.0,0.372143,0.154018,0.209402,0.816779,0.413862,103.748,93.2475,0.43226,,,,,1.761,0.0,3.361,0.0,,
mla,Wiktionary edits (la),edit-lawiktionary/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",30656,177936,,373348567,1345464005266,4145892594711256,,321142448.0,4062772186.0,20101,11.6086,0.00400372,30245,12.0,2.39069,3.84823,3.0,3.04198,0.796532,0.180576,0.699901,2.16575,1.501,1.501,0.329,-0.34961,0.0,,571.915,0.0278093,1.52093,,,,,29149.0,0.953267,839.0,29817.0,20101.0,500.0,212.081,5.9676,0.0413126,0.261375,1.541,0.268,8.581,0.669,,,,,,,,,,,,,,,,,,,,100159.0,1.77654
mwa,Wiktionary edits (wa),edit-wawiktionary/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",46386,182251,,771842591,5979787692180,37679772457299112,,159503737.0,4363602390.0,82442,7.85802,0.00706526,46058,15.0,1.93225,3.82225,2.0,2.96466,0.752993,0.209623,0.669572,2.74594,3.861,3.861,0.0,-0.440211,0.0,,1234.89,0.00881163,2.28681,,,,,45699.0,0.987382,310.0,46076.0,82442.0,836.0,587.906,3.95544,0.0478461,0.307093,1.421,0.046,4.161,0.0,,,,,,,,,,,,,,,,,,,,100917.0,1.80595
tk,Wikipedia edits (tk),edit-tkwiki/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",13512,186243,,114039558,136728886645,138762561059867,,397783717.0,3638705840.0,18207,27.5671,0.00554425,12213,14.0,3.16569,5.35181,4.0,3.60312,0.795729,0.204612,0.766136,1.72963,3.301,,,-0.108095,4.61362e-246,,,0.0327839,,,,,,10346.0,0.79781,1425.0,12087.0,18207.0,259.0,130.697,15.4085,0.0541819,0.27092,,,,,,,,,,,,,,,,,,,,,,,,95494.0,1.95031
szl,Wikipedia edits (szl),edit-szlwiki/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",17240,189325,,101234583,130822187617,156203255811145,,218510518.0,2153272266.0,13097,21.9635,0.00356772,16717,11.0,3.1357,3.89823,4.0,3.29671,0.85368,0.151169,0.750485,2.01905,1.691,1.691,0.0,-0.295206,0.0,,665.951,0.024015,1.67555,,,,,14388.0,0.83851,1534.0,15706.0,13097.0,384.0,123.419,12.0543,0.0538122,0.202467,1.691,0.0,8.911,0.187,,,,,,,,,,,,,,,,,,,,85957.0,2.20255
DA,Daily Kos,bag-kos/,Text network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",10336,467714,,68241250,11455280341,2925573347776,,467702668.0,4015445872.0,2123,90.5019,0.0149091,10336,5.0,2.59643,3.6917,3.0,3.07807,0.606086,0.269422,0.940178,1.27422,2.341,,,-0.0549506,2.9845799999999995e-234,,358.079,5.81182,1.54757,,,,,3476.0,0.3363,3430.0,6906.0,457.0,2123.0,136.36,67.7257,0.36412,0.24689,,,,,,,,,,,,,,,,,,,,,,,,353160.0,1.32437
map-bms,Wikipedia edits (map-bms),edit-map_bmswiki/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",28464,185840,,241004281,586873856700,1220593516089462,,261067627.0,3052868314.0,15989,13.0579,0.00365673,27425,12.0,3.22725,3.93872,4.0,3.38619,0.820872,0.153199,0.728366,2.04084,1.541,1.541,0.001,-0.531778,0.0,,633.144,0.0242402,2.79992,,,,,26025.0,0.926915,1081.0,27383.0,15989.0,247.0,171.915,6.78669,0.0510923,0.243909,1.661,0.0,8.911,0.223,,,,,,,,,,,,,,,,,,,,108243.0,1.71688
Wxmf,Wikipedia links (xmf),wikipedia_link_xmf/,Hyperlink network,"['Unipartite', 'directed', 'Unweighted', 'no multiple edges']",15600,405676,29.0,115457818,75664303619,45957394482805,7435099.0,2076621957.0,17075429354.0,4542,52.0097,0.00166698,15587,10.0,2.63719,3.72949,3.0,3.1771,0.712438,0.230876,0.885575,1.39069,2.321,,,-0.181382,0.0,0.19319,553.049,0.147098,2.2207,0.590141,0.0535118,0.089207,0.000558449,5400.0,0.346154,,,,,,,,,,,,,370.0,4539.0,10784.0,0.691282,0.261546,0.190652,0.691781,0.802356,291.023,262.021,0.465635,,,,,,,,,,
mt,Wikipedia edits (mt),edit-mtwiki/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",16594,190769,,67967670,91250780048,126057812173885,,104630141.0,1109063848.0,22886,22.9925,0.00255572,15753,11.0,3.25797,4.02073,4.0,3.52654,0.855305,0.150905,0.751747,2.17722,1.761,,,-0.3135,0.0,,,0.0472994,1.03011,,,,,13318.0,0.814357,1746.0,14848.0,22886.0,1031.0,109.261,12.8481,0.0491484,0.194691,,,,,,,,,,,,,,,,,,,,,,,,66256.0,2.87927
DB,DBpedia,dbpedia-all/,Miscellaneous network,"['Unipartite', 'directed', 'Unweighted', 'multiple edges']",3966924,13820853,0.0,174275329593,19647361248950896,2.121 93 × 1021,8329548.0,31569203235.0,949680166216.0,472799,6.96805,8.172309999999999e-07,3915921,67.0,4.67503,6.27044,5.0,5.18984,0.661842,0.253558,0.874373,1.94085,2.071,,,-0.0425466,0.0,0.000143386,731.842,,1.00351,0.00569968,0.000326204,0.000674948,2.62681e-05,1426027.0,59.96,,,,,,,,,,,,,1006.0,472799.0,178593.0,0.0450205,0.339768,0.157443,,0.150192,729.74,18.7708,0.0387515,,,,,,,,,12860157.0,1.0747
vru,Wikivoyage edits (ru),edit-ruwikivoyage/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",16613,194277,,51084433,68537993047,82515480116683,,35113998.0,485368568.0,25930,23.3886,0.00150382,16332,10.0,3.20436,4.49903,4.0,3.54044,0.86331,0.141514,0.745936,2.50336,1.901,1.901,0.0,-0.275079,0.0,,2549.89,0.036361,2.33945,,,,,13440.0,0.809785,2162.0,14451.0,25930.0,5743.0,89.8599,13.4438,0.0690149,0.18922,1.861,0.0,4.441,0.884,,,,,,,,,,,,,,,,,,,,46984.0,4.13496
qfr,Wikiquote edits (fr),edit-frwikisource/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",2409110,6523303,,598369968318,,,,,,1045775,5.41553,,2401362,12.0,3.35493,3.89311,4.0,3.55923,,0.222478,,,,,,-0.0769759,0.0,,,,,,,,,,,6666.0,2402444.0,1045775.0,81620.0,978.593,2.71528,0.0338221,0.333365,,,,,,,,,,,,,,,,,,,,,,,,4408423.0,1.47974
Tel,Wikipedia talk (el),wiki_talk_el/,Communication network,"['Unipartite', 'directed', 'Unweighted', 'multiple edges']",40254,190279,26135.0,181858756,581119219524,1536422106910311,53432.0,66577096.0,1260190222.0,23615,9.45392,4.776030000000001e-05,39667,8.0,2.72931,3.72631,3.0,3.23207,0.841997,0.153645,0.718771,3.41932,3.341,,,-0.385175,0.0,0.000881431,3905.03,0.0949109,1.28382,0.314832,0.0215157,0.0491566,0.00340657,37016.0,0.919561,,,,,,,,,,,,,23614.0,6251.0,2421.0,0.0601431,0.0750056,0.239065,0.673621,0.021507,2030.64,1889.59,0.173601,,,,,,,,,77390.0,2.4587
Whak,Wikipedia links (hak),wikipedia_link_hak/,Hyperlink network,"['Unipartite', 'directed', 'Unweighted', 'no multiple edges']",11487,427057,3.0,42775768,16799003841,1978291241430,11512146.0,1669651210.0,13528833540.0,1443,74.3548,0.00323648,11442,12.0,3.489,4.83863,4.0,4.00145,0.750244,0.194821,0.883718,1.41971,1.421,,,0.164534,0.0,0.807383,530.506,0.0646172,1.32868,0.841957,0.0671548,0.111639,0.000613252,3706.0,0.322626,,,,,,,,,,,,,270.0,1442.0,7518.0,0.654479,0.193485,0.211829,0.781545,0.971885,265.506,265.0,0.780512,,,,,,,,,,
nrm,Wikipedia edits (nrm),edit-nrmwiki/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",8944,201831,,79205742,67563235681,48105958410143,,464288828.0,4031465296.0,24151,45.1322,0.0115771,8379,12.0,3.14693,4.98111,4.0,3.4579,0.819137,0.192352,0.766947,1.71779,3.071,3.071,0.0,-0.107643,1.54326e-212,,855.769,0.0394748,2.45102,,,,,7193.0,0.811119,891.0,8053.0,24151.0,299.0,226.522,25.0628,0.0586679,0.243382,1.421,0.0,8.911,0.013,,,,,,,,,,,,,,,,,,,,83068.0,2.42971
TA,TripAdvisor,wang-tripadvisor/,Rating network,"['Bipartite', 'undirected', 'Ratings', 'multiple edges']",147075,175765,,23704235,5893488792,2022222569935,,11327.0,95259242.0,2138,2.39014,0.000687197,146988,14.0,5.47803,7.15399,6.0,5.94955,0.572841,0.291614,0.848532,6.92522,2.981,2.981,0.0,-0.0993657,0.0,,28.7365,0.000126145,1.02081,,,,,143557.0,0.97608,145316.0,1759.0,22.0,2138.0,1.20954,99.9233,0.450867,0.31748,3.311,0.0,2.231,0.0,,,,,,,,,,,,0.409877,0.00459492,,0.000480856,,,,,175655.0,1.00063
mvo,Wiktionary edits (vo),edit-vowiktionary/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",25457,195457,,791971282,5145349553544,26184767519747060,,913424636.0,10475506342.0,74293,15.3559,0.0163431,25177,15.0,1.56187,3.11454,2.0,2.31885,0.657293,0.25786,0.67962,1.76325,3.551,3.551,0.0,-0.425511,0.0,,649.206,0.0197101,1.98976,,,,,24910.0,0.980323,255.0,25202.0,74293.0,137.0,766.498,7.75561,0.039093,0.392813,1.371,0.011,8.991,0.114,,,,,,,,,,,,,,,,,,,,105029.0,1.86098
npl,Wikinews edits (pl),edit-plwikinews/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",43407,192332,,417806646,2745638288273,16224827432729264,,86897339.0,2366646836.0,36840,8.8618,0.00166074,42931,10.0,3.26388,3.92418,4.0,3.43064,0.772371,0.20384,0.733291,2.39054,3.621,3.621,0.0,-0.153878,0.0,,2225.95,0.0408587,2.47396,,,,,40355.0,0.931577,1572.0,41835.0,36840.0,2510.0,122.349,4.59739,0.0676486,0.295006,1.591,0.731,4.821,0.0,,,,,,,,,,,,,,,,,,,,109218.0,1.76099
Wht,Wikipedia links (ht),wikipedia_link_ht/,Hyperlink network,"['Unipartite', 'directed', 'Unweighted', 'no multiple edges']",57219,384030,2.0,1713317394,11735974919361,73201754085871680,888312.0,3030419841.0,31097349214.0,32719,13.4232,0.000117296,57014,12.0,2.425,4.34526,3.0,3.13338,0.676284,0.257093,0.778753,1.61016,2.041,,,-0.30048,0.0,0.00155542,326.693,0.0743026,1.00755,0.0074891,0.0108832,0.0709114,0.00140249,46072.0,0.805187,,,,,,,,,,,,,263.0,32718.0,8330.0,0.145581,0.364818,0.092274,0.341278,0.283228,325.124,55.729,0.122772,,,,,,,,,,
qes,Wikiquote edits (es),edit-eswikisource/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",213453,779562,,3360230243,,,,624962942.0,18441668628.0,120157,7.3043,,211549,12.0,3.45392,3.9742,4.0,3.83473,,,,,1.581,,,,,,19347.4,,,,,,,,,3235.0,210218.0,120157.0,19307.0,240.977,3.70835,,,,,,,,,,,,,,,,,,,,,,,,,,418562.0,1.86248
hif,Wikipedia edits (hif),edit-hifwiki/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",31566,208674,,147300679,257974980342,430582252687979,,206593730.0,2242223098.0,15472,13.2214,0.0010666,30758,11.0,3.62152,5.43645,4.0,4.08458,0.851458,0.139311,0.753905,2.37369,1.851,,,-0.468393,0.0,,577.311,0.00510762,1.96328,,,,,27361.0,0.87198,3858.0,27708.0,15472.0,274.0,54.0886,7.53118,0.0625377,0.188414,,,,,,,,,,,,,,,,,,,,,,,,114017.0,1.8302
Wnso,Wikipedia links (nso),wikipedia_link_nso/,Hyperlink network,"['Unipartite', 'directed', 'Unweighted', 'no multiple edges']",8152,455809,1.0,102765470,77307410887,37232457971664,14051759.0,3271249354.0,26581646682.0,4340,111.828,0.0068589,8150,11.0,2.79262,3.94508,3.0,3.26599,0.63856,0.247004,0.908676,1.27789,2.001,2.011,0.0,-0.213258,0.0,0.410209,726.252,0.0578259,1.81001,0.798693,0.0734948,0.13768,0.000475488,684.0,0.0839058,,,,,,,,,,,,,2024.0,2700.0,6875.0,0.843351,0.27924,0.207692,0.649839,0.895346,367.571,358.516,0.705662,,,,,2.091,0.0,1.851,0.0,,
qru,Wikiquote edits (ru),edit-ruwikisource/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",609903,2434171,,50781916248,,1.668 82 × 1020,,7319061472.0,261682482164.0,477162,7.98216,,607855,12.0,3.40626,3.95929,4.0,3.72652,0.740434,,,,1.521,,,-0.0618283,0.0,,4477.39,,,,,,,,,3088.0,606815.0,477162.0,13030.0,788.268,4.01139,,,,,,,,,,,,,,,,,,,,,,,,,,1078960.0,2.25603
PHc,arXiv hep-ph,cit-HepPh/,Citation network,"['Unipartite', 'directed', 'Unweighted', 'no multiple edges']",34546,421578,44.0,26298866,1344423338,104402971182,1276868.0,39015537.0,418161514.0,846,24.4068,0.00035325,34401,14.0,3.81719,5.22989,4.0,4.39535,0.525062,0.306494,0.952172,1.37828,3.041,3.041,0.0,-0.00628637,8.040380000000002e-09,0.145657,76.6411,0.0463933,1.04945,0.502827,0.0573974,0.102305,0.00104537,8745.0,0.253141,,,,,,,,,,,,,411.0,846.0,12711.0,0.367944,0.311838,0.25151,0.138861,0.19672,57.0772,5.66291,0.00322123,,,,,3.741,0.176,3.071,0.0,,
